offset,url,length,content-type,ext,status,warc_id
2553770,090e9067-8a76-4526-8847-5c6e2d19a5eb.png,https://www.codinglabs.net/images/icons/lock.png,18585,image/png,png,200,090e9067-8a76-4526-8847-5c6e2d19a5eb
2630375,3da35a97-91c5-4b39-842e-3fcb54dff89a.png,https://www.codinglabs.net/public/mixedit/vsicon.png,1618,image/png,png,200,3da35a97-91c5-4b39-842e-3fcb54dff89a
3152756,a3591358-b57e-4062-b55b-3589bcdc203f.png,https://www.codinglabs.net/images\logo_white.png,5428,image/png,png,200,a3591358-b57e-4062-b55b-3589bcdc203f
3164219,93cb3c74-cf70-411f-ad9d-dd0121598931.png,https://www.codinglabs.net/images/icons/rar_crate.png,7323,image/png,png,200,93cb3c74-cf70-411f-ad9d-dd0121598931
3895712,9829a955-7a4a-4532-97fa-933da699cfdb.png,https://www.codinglabs.net/images/icons/zip_crate.png,7164,image/png,png,200,9829a955-7a4a-4532-97fa-933da699cfdb
9429345,63eab04e-0ede-4d4e-b891-06f55b015e63.html,https://www.codinglabs.net/Styles/images/lightbox/next.png,2435,text/html; charset=utf-8,png,404,63eab04e-0ede-4d4e-b891-06f55b015e63
9432325,1f8e1bd1-29c4-4ab7-9761-998f672e1759.html,https://www.codinglabs.net/Styles/images/lightbox/prev.png,2435,text/html; charset=utf-8,png,404,1f8e1bd1-29c4-4ab7-9761-998f672e1759
9435335,4eb1c44e-41dc-4cf8-af18-8a93fbb96d3f.png,https://www.codinglabs.net/public/contents/article_physically_based_rendering/images/intensity.png,23571,image/png,png,200,4eb1c44e-41dc-4cf8-af18-8a93fbb96d3f
9495821,1d7fcced-e246-44a4-b2a2-0c8c160bd031.png,https://www.codinglabs.net/public/contents/article_physically_based_rendering/images/solid_angle.png,13631,image/png,png,200,1d7fcced-e246-44a4-b2a2-0c8c160bd031
9554050,4074f5c0-ec36-402f-ab9c-eccbc6ece803.png,https://www.codinglabs.net/public/contents/article_physically_based_rendering/images/radiance.png,14780,image/png,png,200,4074f5c0-ec36-402f-ab9c-eccbc6ece803
9642219,d74ada71-0110-4cf1-8dbe-003124c07b51.png,https://www.codinglabs.net/public/contents/article_physically_based_rendering_cook_torrance/images/diff_spec.png,21284,image/png,png,200,d74ada71-0110-4cf1-8dbe-003124c07b51
13326665,9fb74c00-5416-4c37-a0c9-28b187335a67.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/coords_rh.png,12101,image/png,png,200,9fb74c00-5416-4c37-a0c9-28b187335a67
13339345,9181c21f-9344-4ab0-80e7-129e55d52c8c.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/genericTransform.png,63734,image/png,png,200,9181c21f-9344-4ab0-80e7-129e55d52c8c
13403662,bf55e26e-f75e-4f34-aa46-91e13fbb21b3.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/matrix_transformation.png,124131,image/png,png,200,bf55e26e-f75e-4f34-aa46-91e13fbb21b3
13528368,6a6ab325-1953-4499-805b-553ea336e722.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/persp2.png,50509,image/png,png,200,6a6ab325-1953-4499-805b-553ea336e722
13579459,4310125d-7100-4ac4-961e-a0e7143fb5b9.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/rotationAxisXMatrix.png,18538,image/png,png,200,4310125d-7100-4ac4-961e-a0e7143fb5b9
13598575,08cbc5bb-33a0-4387-b67e-5a6c9e01ac0c.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/ModelSpace.png,119538,image/png,png,200,08cbc5bb-33a0-4387-b67e-5a6c9e01ac0c
13718695,f2c9515a-4a08-47c6-9007-61067e5adebb.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/transformation.png,80770,image/png,png,200,f2c9515a-4a08-47c6-9007-61067e5adebb
13800041,7922e695-8599-436d-855b-008860972aaa.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/derivation2.png,19966,image/png,png,200,7922e695-8599-436d-855b-008860972aaa
13820584,e488a3de-2a2a-4d5f-bb9d-e2858bf63aef.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/scaleMatrix.png,18083,image/png,png,200,e488a3de-2a2a-4d5f-bb9d-e2858bf63aef
13839241,e7afc0be-2b74-4350-97bc-6916b2ae481f.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/ortho2.png,42784,image/png,png,200,e7afc0be-2b74-4350-97bc-6916b2ae481f
13882600,c8ae1f70-3b41-4fe7-942f-8f212df06f35.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/perspMatrix.png,36905,image/png,png,200,c8ae1f70-3b41-4fe7-942f-8f212df06f35
13920087,c5aa29d2-22b1-4159-b956-d8ee6a539fb9.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/rotationAxisYMatrix.png,19787,image/png,png,200,c5aa29d2-22b1-4159-b956-d8ee6a539fb9
13940450,6bdf31d6-b6ea-4a63-aa4e-77cc265ec1f6.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/point.png,37702,image/png,png,200,6bdf31d6-b6ea-4a63-aa4e-77cc265ec1f6
